B,  19.69 
Al,  57.18
Ga,  51.88
In,  66.10
Tl,  69.41
Nh,  81.11
C,  11.40
Si,  37.67
Ge,  39.20
Sn,  53.70
Pb,  58.56
Fl,  72.77
N,   7.24
P,  24.97
As,  29.73
Sb,  42.91
Bi,  48.71
Mc,  60.34
O,   5.07
S,  20.35
Se,  26.28
Te,  38.44
Po,  43.68
Lv,  55.37
F,   3.62
Cl,  14.75
Br,  22.28
I,  32.30
At,  38.43
Ts,  48.86
He,1.38 
Ne,2.62 
Ar,11.00
Kr,16.62
Xe,26.80
Rn,32.87
Be,37.69
Mg,71.40
Ca,160.52
Sr,204.08
Ba,281.50
Ra,257.04
K,291.15
Rb,323.08
Cs,395.90
Fr,311.07
Og,43.28
